bit error rate,received error rate
0.16,0.0476974
0.17,0.0280374
0.18,0
0.19,0.0970395
0.20,0.126645
0.21,0.148026
0.22,0.131579
0.23,0.133224
0.24,0.167763
0.25,0.154605
0.26,0.152961
0.27,0.138158
0.28,0.151316
0.29,0.189145
0.30,0.215461
0.31,0.175987
0.32,0.15625
0.33,0.182566
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.133224
0.18,0.0641447
0.19,0.106908
0.20,0.128289
0.21,0.171053
0.22,0.162829
0.23,0.151316
0.24,0.149671
0.25,0.120066
0.26,0.144737
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0871711
0.17,0.105263
0.18,0.0986842
0.19,0.0542763
0.20,0.131579
0.21,0.152961
0.22,0.0970395
0.23,0.180921
0.24,0.129934
0.25,0.171053
0.26,0.167763
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0124611
0.16,0.0723684
0.17,0.0592105
0.18,0.0345395
0.19,0.128289
0.20,0.0871711
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0124611
0.16,0.0155763
0.17,0.0263158
0.18,0.0855263
0.19,0.0311526
0.20,0.0592105
0.21,0.164474
0.22,0.118421
0.23,0.134868
0.24,0.161184
0.25,0.164474
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.00623053
0.17,0
0.18,0.0592105
0.19,0.0986842
0.20,0.113487
0.21,0.154605
0.22,0.148026
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
